foo,bar,baz,high,low
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120327,51,30
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120328,67,44
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120329,61,43
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120330,57,40
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120331,43,38
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120401,52,42
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120402,57,40
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120403,64,40
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120404,68,47
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120405,58,42
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120406,59,38
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120407,61,40
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120408,67,44
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120409,64,49
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120410,60,45
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120411,53,43
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120412,61,43
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120413,65,43
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120414,72,50
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120415,77,58
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120416,88,65
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120417,78,61
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120418,62,49
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120419,70,47
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120420,71,54
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120421,71,54
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120422,54,46
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120423,54,42
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120424,59,41
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120425,62,43
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120426,61,45
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120427,56,41
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120428,60,38
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120429,63,44
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120430,62,43
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120501,68,51
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120502,53,50
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120503,58,50
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120504,73,54
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120505,63,56
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120506,65,53
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120507,65,52
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120508,66,55
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120509,69,57
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120510,64,52
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120511,68,49
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120512,78,53
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120513,81,63
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120514,70,63
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120515,65,61
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120516,78,61
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120517,72,53
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120518,72,54
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120519,80,53
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120520,78,57
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120521,62,57
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120522,70,60
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120523,75,64
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120524,66,62
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120525,75,60
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120526,84,67
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120527,81,64
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120528,89,71
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120529,89,68
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120530,76,68
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120531,79,66
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120601,74,62
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120602,75,61
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120603,76,58
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120604,63,54
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120605,64,51
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120606,72,54
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120607,78,58
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120608,81,60
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120609,78,64
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120610,84,66
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120611,77,64
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120612,72,65
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120613,69,64
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120614,77,62
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120615,80,60
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120616,80,60
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120617,73,58
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120618,72,57
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120619,77,63
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120620,94,70
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120621,94,79
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120622,90,70
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120623,84,69
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120624,84,66
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120625,74,62
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120626,72,58
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120627,81,62
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120628,88,68
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120629,93,68
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120630,93,77
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120701,94,74
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120702,88,72
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120703,89,71
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120704,92,70
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120705,95,77
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120706,93,72
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120707,97,72
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120708,92,72
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120709,86,73
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120710,87,69
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120711,85,71
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120712,89,70
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120713,89,74
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120714,85,73
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120715,89,71
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120716,91,70
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120717,96,74
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120718,100,73
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120719,76,68
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120720,72,61
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120721,78,61
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120722,83,65
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120723,86,71
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120724,91,74
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120725,85,67
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120726,88,68
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120727,87,71
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120728,81,68
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120729,80,68
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120730,81,68
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120731,80,70
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120801,78,70
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120802,87,70
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120803,89,75
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120804,90,75
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120805,91,73
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120806,86,72
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120807,83,68
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120808,86,73
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120809,88,73
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120810,80,70
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120811,87,75
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120812,87,73
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120813,86,69
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120814,79,72
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120815,82,67
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120816,85,66
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120817,88,65
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120818,79,63
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120819,74,62
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120820,78,65
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120821,82,66
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120822,82,68
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120823,85,69
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120824,87,69
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120825,86,70
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120826,84,68
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120827,81,70
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120828,87,73
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120829,79,67
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120830,82,61
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120831,91,69
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120901,91,74
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120902,82,71
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120903,79,71
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120904,80,70
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120905,80,71
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120906,80,69
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120907,87,71
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120908,81,63
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120909,78,63
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120910,72,58
